Image,StarDist IoU,StarDist Dice Coefficient,StarDist Pixel Accuracy,Cellpose IoU,Cellpose Dice Coefficient,Cellpose Pixel Accuracy
Test_Human_1_004h.tif,0.66,0.795,0.991,0.736,0.848,0.994
Test_Human_1_008h.tif,0.684,0.812,0.991,0.704,0.826,0.992
Test_Human_1_012h.tif,0.714,0.833,0.993,0.742,0.852,0.993
Test_Human_1_016h.tif,0.665,0.799,0.991,0.678,0.808,0.992
Test_Human_1_020h.tif,0.659,0.795,0.992,0.727,0.842,0.994
Test_Mouse_2_000h.tif,0.647,0.786,0.914,0.689,0.816,0.925
Test_Mouse_2_002h.tif,0.662,0.796,0.907,0.675,0.806,0.911
Test_Mouse_2_004h.tif,0.667,0.8,0.892,0.692,0.818,0.901
Test_Mouse_2_006h.tif,0.672,0.804,0.891,0.691,0.817,0.899
Test_Mouse_2_008h.tif,0.668,0.801,0.891,0.674,0.805,0.894
