Image,StarDist IoU,StarDist Dice Coefficient,StarDist Pixel Accuracy,Cellpose IoU,Cellpose Dice Coefficient,Cellpose Pixel Accuracy
human_1_004h.tif,0.698,0.822,0.993,0.702,0.825,0.993
human_1_008h.tif,0.709,0.83,0.992,0.699,0.823,0.991
human_1_012h.tif,0.691,0.818,0.992,0.742,0.852,0.993
human_1_016h.tif,0.678,0.808,0.992,0.68,0.81,0.992
human_1_020h.tif,0.701,0.824,0.993,0.741,0.851,0.994
mouse_2_000h.tif,0.649,0.787,0.914,0.692,0.818,0.926
mouse_2_002h.tif,0.652,0.789,0.904,0.687,0.814,0.914
mouse_2_004h.tif,0.668,0.801,0.893,0.695,0.82,0.902
mouse_2_006h.tif,0.667,0.801,0.89,0.7,0.823,0.902
mouse_2_008h.tif,0.666,0.8,0.891,0.664,0.798,0.89
